company,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,reg_lag,train_rmse,train_mae,test_rmse,test_mae,n225_coef,params
明豊エンタープライズ,additive,0.05,5.0,4,0.1811445470631447,0.12014395950240604,0.14129800199992873,0.11291575935948894,-0.015784162391193447,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.05,15.0,4,0.1917290117024215,0.11661620389807692,0.09640844255350041,0.07853777320727652,-0.018925614582554318,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,additive,0.2,5.0,4,0.18057861692487276,0.11822707729427019,0.13350390745555507,0.10790611344372159,-0.016662376958561022,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.2,15.0,4,0.18059143376302303,0.11988340777937721,0.13997797859798003,0.11216267719958146,-0.016446676187502278,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.05,5.0,4,0.19743126499713937,0.11709223720306708,0.11155605654735541,0.08592461478700442,0.014268710031173979,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.05,15.0,4,0.19744064225860541,0.11714196676957905,0.11130383183759268,0.0857781306767138,0.013984642111891321,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.2,5.0,4,0.18736163826795266,0.11710089436895756,0.11466961576044594,0.08923370158668463,0.6511807636979826,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.2,15.0,4,0.18646624815606122,0.11745883077611605,0.1131393625072397,0.08849423898826363,0.7070844533970795,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.05,5.0,4,0.10208816289073161,0.07172352125909234,0.08097848506594929,0.05112768978105573,0.011324230958978013,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.05,15.0,4,0.10208826184551582,0.07172856835916407,0.0810418169302521,0.051184594856148596,0.011327910001430165,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.2,5.0,4,0.10177763032849346,0.07160923891333139,0.08075259976222475,0.05008101584546646,0.011190142558926789,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.2,15.0,4,0.10177391979075506,0.07158774594207352,0.08059001741721568,0.04992707160287383,0.011221458630528262,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.05,5.0,4,0.10366877053193925,0.07482902545062835,0.06825134585428579,0.049449640626530365,-0.05466605789470546,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.05,15.0,4,0.10367013510725862,0.07492398980198293,0.06887375368976914,0.05017734717407619,-0.05409539808654267,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.2,5.0,4,0.09981023251260186,0.07268287873311192,0.06321984691540375,0.04336313694652827,-0.7565173150550419,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.2,15.0,4,0.0994903680897532,0.07228259544625988,0.0636133009109757,0.04326801138327219,-1.0265115343841607,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.05,5.0,4,0.1101939142724381,0.0830808264101247,0.0568427621640414,0.0473727774752461,0.003915402807939216,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.05,15.0,4,0.11020423710779985,0.08301416286728877,0.05649638460088113,0.047057779023913136,0.003747681314895215,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.2,5.0,4,0.10747561242008455,0.0809706075875571,0.0648984916371338,0.053073850521140296,0.002999444831077721,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.2,15.0,4,0.10723820676329786,0.08092884066179377,0.07020096531510003,0.056407984765890706,0.002492167884535085,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.05,5.0,4,0.11226021220671137,0.08407223413433956,0.056083660850250426,0.04460283719699648,-0.00985425504484922,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.05,15.0,4,0.11228478884839577,0.08419284622831445,0.05706914768922999,0.045507228085183205,-0.009677952215724924,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.2,5.0,4,0.11216514473385755,0.08401336364796724,0.055046365364245134,0.04406562437369325,0.005759690567592689,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.2,15.0,4,0.11217709007793104,0.08401368046860161,0.055179748552577734,0.044137733494695,0.0053222766937153715,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
