company,order,lag,cv_rmse,cv_mae,cv_aic,insample_rmse,insample_mae,n225_coef,n225_pvalue,splits
明豊エンタープライズ,"(1, 0, 1)",0,0.9436763551126697,0.6401381066148004,386.18681855807654,0.9782716018716402,0.5979523392106689,0.14939536137368262,0.002402856136914222,5
明豊エンタープライズ,"(1, 0, 1)",1,0.9091635463222774,0.6316177224569671,364.48923397465404,0.9115757196100924,0.5857530766316646,0.38236349359248106,1.543875473137242e-21,5
明豊エンタープライズ,"(1, 0, 1)",2,0.9855847922185553,0.7102920844043891,360.9089713150463,0.9261793631727003,0.6216838379861533,0.322395028107021,4.170232771423519e-08,5
明豊エンタープライズ,"(1, 0, 1)",3,0.9507228651675599,0.6642099828372202,378.2863480977927,0.9763527748430718,0.6057928913931923,0.07939601630952177,0.3188666494915299,5
明豊エンタープライズ,"(1, 0, 1)",6,0.9345821160253989,0.6458483673654498,385.61083832777615,0.9776950444518154,0.6033519728812216,0.07177624107603076,0.31285173445842696,5
明豊エンタープライズ,"(1, 1, 1)",0,0.9585563005310892,0.655682461960211,392.95407139929483,0.9940225241552713,0.6133558051246799,0.11083330948120106,0.002483684861030753,5
明豊エンタープライズ,"(1, 1, 1)",1,0.9300168403396804,0.6452190482789371,370.2977600770998,0.927532720155562,0.5912411047277296,0.3586334126384376,2.5316332284643605e-31,5
明豊エンタープライズ,"(1, 1, 1)",2,0.9956578323070255,0.718656096627431,366.2928180793333,0.9370329627354249,0.6313317958611275,0.31748536074813916,2.5620439642854894e-09,5
明豊エンタープライズ,"(1, 1, 1)",3,0.9625437327094412,0.6716584095131819,380.46300457556447,0.9854566120434454,0.6143217742294865,0.06641546343032431,0.3226670604334638,5
明豊エンタープライズ,"(1, 1, 1)",6,1.050620957764003,0.8022343136746184,387.9077652811966,0.9854722749881515,0.614389005667833,0.0656751139880759,0.27554584456544484,5
明豊エンタープライズ,"(2, 0, 1)",0,0.9402030888455473,0.6412919618292446,387.27416925348086,0.9808287265040606,0.6035124454364401,0.18937111417943964,8.846976370225291e-05,5
明豊エンタープライズ,"(2, 0, 1)",1,0.8977002215050998,0.6251303681272491,365.4100712267418,0.9123026972306546,0.5926310342172283,0.39172570207163937,6.632148882244906e-28,5
明豊エンタープライズ,"(2, 0, 1)",2,0.9784802800329236,0.7050061405553306,361.75626682769024,0.9270666861947904,0.6217115605054967,0.3243508680961752,2.65870948671777e-08,5
明豊エンタープライズ,"(2, 0, 1)",3,0.9436972929612812,0.664467682447658,377.2103376028093,0.9742741771157085,0.6078043863188074,0.11074056480036217,0.1615912917684631,5
明豊エンタープライズ,"(2, 0, 1)",6,0.9517171623496667,0.6495919716240737,386.5379539547047,0.9772930993792036,0.6036922990705723,0.06643002999689025,0.3713526085908875,5
明和地所,"(1, 0, 1)",0,0.9550715198556178,0.7110291618078635,453.9630115545824,0.9846226879931085,0.694727936711951,0.05982206283052081,0.23758579684326364,5
明和地所,"(1, 0, 1)",1,0.8760465863121084,0.633091570936255,414.080274548793,0.8790296999573881,0.6158535464763333,0.4616892567842049,6.482121520299412e-26,5
明和地所,"(1, 0, 1)",2,0.9391330984376822,0.6936166568534502,444.9443735581537,0.9835440940884421,0.6958291955174598,0.058355537938717755,0.31642646812562913,5
明和地所,"(1, 0, 1)",3,0.9365370927742152,0.6932554419051521,442.88619332944546,0.9837355349451822,0.6985112751090082,0.08589597949151505,0.1274709873264892,5
明和地所,"(1, 0, 1)",6,0.9491035839273259,0.6952771443331014,443.68678632805256,0.9886330759222483,0.6995096094096577,-0.034910183200399354,0.4637893794875243,5
明和地所,"(1, 1, 1)",0,0.9607869830292455,0.7138896005480324,458.49156709294493,1.0070131867725802,0.713402630182438,0.048678966860355506,0.345483233246173,5
明和地所,"(1, 1, 1)",1,0.8687805883673161,0.6261510160807562,419.2966518642228,0.8967504151695282,0.6332496592627472,0.4695610348320711,6.134841464409024e-29,5
明和地所,"(1, 1, 1)",2,0.9682184948324982,0.7194116202643623,451.0608474806093,1.0168390877269247,0.718554115437214,0.05980235102083115,0.32176496347951955,5
明和地所,"(1, 1, 1)",3,0.9533544073835734,0.7087918876211893,449.84675506001884,1.0265556287980255,0.7279777218833745,0.0605962102366112,0.27787053976114273,5
明和地所,"(1, 1, 1)",6,0.9626192773796232,0.7073350008010872,450.18441739031766,1.0139035152871423,0.7180537387109692,-0.030777736454151494,0.5549363177059411,5
明和地所,"(2, 0, 1)",0,0.9513591271723294,0.7066171538878961,454.4530734089259,0.9846169580467896,0.6947080995248377,0.06080192213891017,0.22987648132152483,5
明和地所,"(2, 0, 1)",1,0.8784805146614844,0.6350332366166823,410.8215194660546,0.8706947364150096,0.6287847357908418,0.5034420559894002,1.2891054095237138e-29,5
明和地所,"(2, 0, 1)",2,0.938036501037646,0.6927162625455558,446.13206064155736,0.9834062161198336,0.6956270910429294,0.06999159244259782,0.25213875962793453,5
明和地所,"(2, 0, 1)",3,0.9511785724582136,0.7050532805842105,443.6931251420725,0.983324466825986,0.7000942078615373,0.09713887396652965,0.10472658971884075,5
明和地所,"(2, 0, 1)",6,0.9486743237086518,0.6948059862607581,445.4613335225798,0.988534660469076,0.6996056256623729,-0.03565476941919717,0.45283751584090715,5
ゴールドクレスト,"(1, 0, 1)",0,0.9303088173933567,0.723562777244622,459.2132084112533,0.978218866729811,0.7318064872285599,0.19102314457068797,0.0008427020962283608,5
ゴールドクレスト,"(1, 0, 1)",1,0.8733785976917773,0.6620763092747848,429.7083183146962,0.9099153152519743,0.6688456051674253,0.4110092978219483,1.219530096268736e-31,5
