fold,rmse,mae,aic,lag
1,0.36208282256479846,0.22676214552263887,-78.87346022790355,0
2,0.17521179695242506,0.12237396975220188,18.449494853969547,0
3,0.15051828132901712,0.10527967306256619,-2.5806570639020485,0
4,0.12875363717907604,0.09369505899914878,-29.056481218899656,0
5,0.09503444180754964,0.07002128916554366,-67.42882984902147,0
1,0.3543461579076846,0.2207860693137519,-76.20055032889813,1
2,0.16009218198581066,0.11682282812145071,3.7379579910782716,1
3,0.16970514226348982,0.11923420506639026,-26.023505172840856,1
4,0.10152885838198428,0.08151350271063322,-48.72171552362241,1
5,0.09490904783027758,0.07754283303826512,-95.88457303261555,1
1,0.3614529941228969,0.2325526778225234,-79.67558056978783,3
2,0.18355726313848333,0.13316197483054545,17.52223793375717,3
3,0.15302155860871927,0.10677951560073322,-0.8767922970379942,3
4,0.1269986931571843,0.09438650190878517,-27.26289559882376,3
5,0.09283193615023991,0.06992347650566068,-65.13420116918374,3
1,0.3589715533585518,0.23002728641905057,-43.46674077375968,6
2,0.15790055165209751,0.11474112115780637,20.42224688013885,6
3,0.16036316256049976,0.10963033391572367,-2.793215267861571,6
4,0.1287988694025051,0.09467682574475113,-26.811590583693594,6
5,0.09645605274251695,0.072129842376734,-63.709900757958735,6
