ds,y,macro_series,yhat,yhat_lower,yhat_upper
2004-07-01,-0.2285344106102252,84.4465903558035,-0.07627928917811845,-0.3628841856463415,0.1916539983711128
2004-08-01,-0.4225013293324147,85.8435105344778,-0.19537679742258326,-0.46939764424160313,0.0679137398325106
2004-09-01,-0.1631256021727038,84.58468424964384,-0.01997186479093658,-0.3000316606836276,0.25551846898085795
2004-10-01,-0.2909234738655958,84.12086568586702,-0.08923977758672055,-0.3655660610552536,0.2104279619929538
2004-11-01,-0.1503699330161167,84.61776083297237,-0.09504512316570342,-0.3710125800707003,0.19722316966309617
2004-12-01,-0.0267702942740124,86.0810785236559,0.009114868654303283,-0.25491539600831886,0.2950518791772354
2005-01-01,0.0782521293723086,85.36231716688796,-0.05399940415174234,-0.30379215822116246,0.22220111864543476
2005-02-01,0.1587484142072706,85.08382870189224,-0.017740241825547884,-0.28910340350214075,0.27532135429443577
2005-03-01,-0.0092167685033128,83.4243262408832,-0.09483171694625109,-0.3637403734877763,0.177807992853467
2005-04-01,-0.1039897419596176,81.6300163047622,-0.020276345982565773,-0.28471167336857356,0.25371423695134615
2005-05-01,0.2258795580218612,82.84880503835349,0.016346149850289975,-0.2659995101820151,0.288984675557058
2005-06-01,0.0349030268338009,84.88316508120973,-0.02609384719830264,-0.30587272255182907,0.24141603890136937
2005-07-01,-0.0213341859584358,84.77514989883923,-0.07257425962996324,-0.35548288887251833,0.2116245955972673
2005-08-01,-0.0663010625435839,86.28044924567726,-0.1874207254461254,-0.46885821582387494,0.08714734848665277
2005-09-01,-0.0327898727177611,86.8229032832487,-0.01164586627621525,-0.2859780270748578,0.27519963564426525
2005-10-01,-0.100083377149727,85.85522365134102,-0.08769615958684925,-0.37701930388498395,0.16729246939806716
2005-11-01,0.1953934494268113,86.39731705960365,-0.08200966512600327,-0.37033392832569123,0.18895136853317093
2005-12-01,0.0032417318920839,88.70437190930261,0.01764103644145079,-0.24829746315085696,0.2848227781284779
2006-01-01,-0.0520317802629497,88.65063285063768,-0.050650270137701396,-0.3244463716038755,0.21997885073159537
2006-02-01,0.0307717218296024,90.99759833435868,-0.008577091852227894,-0.2742838692760393,0.2821925874546514
2006-03-01,0.0,87.06798067822407,-0.08292959878577622,-0.3546631024253055,0.19725884328298385
