fold,rmse,mae,aic,lag
1,0.14926825099827512,0.08470732415249611,-34.01471932144821,0
2,0.35924896956399155,0.21957753670869173,-56.65159671653814,0
3,0.30824190325389883,0.22990897319854056,7.264776830056498,0
4,0.1700181977552513,0.1049007697243108,16.754095279452958,0
5,0.08770625106799497,0.07282776485851243,5.758171738829711,0
1,0.14619449175522967,0.0829443656532256,-29.067413975363586,1
2,0.3553471231572146,0.22409848123562526,-50.78803467212089,1
3,0.30798209173323304,0.22973921298464525,7.739373556341716,1
4,0.16924091433063418,0.10386163498710836,16.648546692170058,1
5,0.08724696356381266,0.07251350842935166,5.80435000063058,1
1,0.3789174043492242,0.2046676985084337,-40.867053133449915,3
2,0.2762633207782962,0.18537988592548843,13.481976987362795,3
3,0.24208345041819065,0.17713334369521236,17.248359698043117,3
4,0.1722789190935041,0.1088316651749515,14.978502094002335,3
5,0.08767725574749365,0.07317603401153161,4.870381621982858,3
1,0.3755858892262421,0.19980974814288774,-35.485264801196855,6
2,0.2777816122373728,0.18772365636536578,14.972000278669146,6
3,0.2421965598967201,0.17821694651416617,18.842785864738037,6
4,0.17340517776919392,0.11030191444422177,16.64832358933475,6
5,0.08830474419176672,0.07375079449333555,6.975699135873726,6
