company,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,reg_lag,train_rmse,train_mae,test_rmse,test_mae,n225_coef,params
明豊エンタープライズ,additive,0.05,5.0,3,0.18200623680491124,0.11648088674660925,0.1283229302536695,0.10569537495796066,0.018521491386720754,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.05,15.0,3,0.18196123847370652,0.11788907950782164,0.13465537722825197,0.11027757612049806,0.019760173711652663,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,additive,0.2,5.0,3,0.18191169902648027,0.11635791494219762,0.1284464040228765,0.10581389106205219,0.018989457876191024,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.2,15.0,3,0.18203276066844934,0.11581644153399873,0.12579693040070325,0.10385096570157847,0.018409342057065778,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.05,5.0,3,0.19758993664751162,0.11769116771988879,0.11177434298286495,0.08611634806845281,-0.02727473961403219,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.05,15.0,3,0.1975846049747756,0.11770339344243212,0.1120283511844193,0.0862620498802484,-0.027671673210420165,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.2,5.0,3,0.19075837704945345,0.11759097378134806,0.11616354052699801,0.09048330500692132,-0.3165945116764557,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.2,15.0,3,0.19000536234152235,0.11743193304587295,0.11455639270522693,0.08922138410736695,-0.2895488025264694,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.05,5.0,3,0.10293688354774805,0.07284610469507806,0.07634798062058824,0.04912502732853586,0.00438068472950766,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.05,15.0,3,0.10294366602790714,0.07284891955843494,0.07633785041169391,0.04909338546306483,0.004281634400522985,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.2,5.0,3,0.10209518393729862,0.07236139896411234,0.07582829925174632,0.04698505721712298,0.007010227123488545,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.2,15.0,3,0.1021071889878767,0.07236197335029386,0.07621964344387178,0.04755046911496885,0.006609237227504198,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.05,5.0,3,0.10491534527810926,0.07497839585213387,0.06736847364749053,0.045398585465762316,0.011546199414827638,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.05,15.0,3,0.10490697664796758,0.07498414179132325,0.06739776698577614,0.04544052303094209,0.011550871750634057,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.2,5.0,3,0.09965917293577903,0.07248565645233984,0.06248635130834163,0.047031754201767174,-1.1469483571870527,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.2,15.0,3,0.09941149813161812,0.07210628074805187,0.06276050266499845,0.04771253218745292,-1.431365359277454,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.05,5.0,3,0.10990870578524488,0.08291435436324121,0.057001067234115514,0.04759434533396028,-0.006075279777696476,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.05,15.0,3,0.10991497966249499,0.08289498490877054,0.05670152972413585,0.04731819184832075,-0.006138705402962381,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.2,5.0,3,0.10723808014898875,0.08079450414959347,0.06463558415798143,0.051819533760317525,-0.003616924672236612,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.2,15.0,3,0.10712057489238204,0.0809006554472477,0.06863057934391274,0.05451713170656086,-0.0027971935147612964,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.05,5.0,3,0.11206234423322288,0.0835977087606734,0.05422182815095561,0.04320437784498169,-0.019813143717542607,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.05,15.0,3,0.11206210922509965,0.08359996114029103,0.054254346945937844,0.0432350180721294,-0.019802444098324976,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.2,5.0,3,0.11196963714265726,0.08347125214856906,0.05413894640621224,0.042987183693188345,-0.06512216379588678,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.2,15.0,3,0.11197564546460037,0.08351742483744233,0.0543441435985366,0.043117637052933776,-0.06540257541403573,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
エスリード,additive,0.05,5.0,3,0.10662772357686523,0.07788428197980683,0.05622174433015334,0.042472418981956896,0.00894335961968028,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
エスリード,additive,0.05,15.0,3,0.10662428889787286,0.07787140670705225,0.055956370737512966,0.04221373442734397,0.00892319018074357,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
エスリード,additive,0.2,5.0,3,0.10410958047624373,0.07633762626351825,0.05682052531139384,0.043952219023124274,0.011682654462066448,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
エスリード,additive,0.2,15.0,3,0.1041503706621059,0.0762775975989867,0.05615564542159806,0.04329491706879779,0.011394029844684867,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
エスリード,multiplicative,0.05,5.0,3,0.11001315218293291,0.07996214676224553,0.05805944574193739,0.045414333931652236,0.011451857466666231,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
エスリード,multiplicative,0.05,15.0,3,0.1100151604043983,0.080011254656702,0.05792415625530894,0.04528283104180858,0.011445276001581014,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
エスリード,multiplicative,0.2,5.0,3,0.10419528546861148,0.075144992290916,0.06208875362780913,0.048092396511352754,-0.6723556722254558,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
エスリード,multiplicative,0.2,15.0,3,0.10676427299609936,0.0771138025087874,0.060628414073849966,0.048588812951370235,0.1436983425375904,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
プロパスト,additive,0.05,5.0,3,0.2761310752534527,0.18186880304242392,0.08248374113977981,0.0638997493481787,0.05540180872249739,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
プロパスト,additive,0.05,15.0,3,0.2761366649844891,0.18183870483333608,0.08244555077732062,0.0640127059219794,0.05535292917582799,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
プロパスト,additive,0.2,5.0,3,0.265118155290708,0.1835649152004515,0.14336708533246653,0.11524115279748715,0.07362031809867567,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
プロパスト,additive,0.2,15.0,3,0.26491444596059427,0.18473806615721333,0.15373331264678372,0.12323682901967624,0.07508159368446846,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
プロパスト,multiplicative,0.05,5.0,3,0.2894831745828572,0.17106997585544984,0.09131700124171853,0.06578039051487772,-0.025179877236168397,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
プロパスト,multiplicative,0.05,15.0,3,0.2894688086038554,0.17110826306401133,0.09164055048749137,0.06606766170301516,-0.026085477153581216,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
プロパスト,multiplicative,0.2,5.0,3,0.2164610210666436,0.14551518987919224,0.09286655877004708,0.0672129551862834,-2.2053562852003328,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
プロパスト,multiplicative,0.2,15.0,3,0.2131731931142499,0.14376196772174882,0.09287677361551014,0.06722036707074476,-2.387241086092544,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
アーバネットコーポレーション,additive,0.05,5.0,3,0.11923487280216694,0.07858757293375578,0.06442196345436232,0.05332892527314811,0.0020772227582893546,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
