ds,y,n225_ret,yhat,yhat_lower,yhat_upper
2004-07-01,-0.2285344106102252,-0.04599455335346216,-0.046766036423361114,-0.2979609315826148,0.17557834242273368
2004-08-01,-0.4225013293324147,-0.021778343170034704,-0.1446643223857626,-0.38332799959364544,0.09663044849303336
2004-09-01,-0.1631256021727038,-0.023577031724547774,0.012660143403109267,-0.2339834234491998,0.26727644603094064
2004-10-01,-0.2909234738655958,-0.004829869468589823,-0.09549387582579474,-0.32983410587369155,0.14496955267007428
2004-11-01,-0.1503699330161167,0.011797656578992437,-0.0873623034709524,-0.32596596187898014,0.14172603362174066
2004-12-01,-0.0267702942740124,0.05267516617782637,-0.0011720215778373358,-0.24367177764006978,0.2520250883431724
2005-01-01,0.0782521293723086,-0.008844993469519401,-0.04671390578558707,-0.28586337901077985,0.20097603174223005
2005-02-01,0.1587484142072706,0.030528734911478485,-0.008924842470232563,-0.23696669655240157,0.23950950114251227
2005-03-01,-0.0092167685033128,-0.0061214024528289425,-0.06340741066413132,-0.31602818333970284,0.167061531281172
2005-04-01,-0.1039897419596176,-0.058227412642761114,-0.02352238281723783,-0.2681289445932775,0.22698142052091244
2005-05-01,0.2258795580218612,0.024024809493367324,-0.0015627224382578422,-0.25015535839063824,0.24846267035078723
2005-06-01,0.0349030268338009,0.02689679712414765,-0.004452984413499929,-0.23876804586570766,0.23262089886965062
2005-07-01,-0.0213341859584358,0.026879074610401607,-0.03488179216049459,-0.2772437784923586,0.1987393421690034
2005-08-01,-0.0663010625435839,0.04228786103920643,-0.12759752181188114,-0.357012606697578,0.09864373309839389
2005-09-01,-0.0327898727177611,0.08938567040489062,0.032622569718568986,-0.20995636993320207,0.2629882377466264
2005-10-01,-0.100083377149727,0.0023693350164475926,-0.09712914995993971,-0.33794137924215784,0.13528806874662067
2005-11-01,0.1953934494268113,0.08894274296062192,-0.06439792472347222,-0.3145778578770466,0.16649911698181852
2005-12-01,0.0032417318920839,0.08003857589416084,0.007096809794732449,-0.226944221252011,0.2260672080230686
