Date,y_true,y_fitted
2004-08-01,-0.4225013293324147,-0.06159014972408858
2004-09-01,-0.1631256021727038,-0.020339160471956746
2004-10-01,-0.2909234738655958,-0.02829624476061028
2004-11-01,-0.1503699330161167,0.06242554198586571
2004-12-01,-0.0267702942740124,0.0730477631895508
2005-01-01,0.0782521293723086,0.09687263637827631
2005-02-01,0.1587484142072706,-0.007312843695358967
2005-03-01,-0.0092167685033128,-0.005384142273463378
2005-04-01,-0.1039897419596176,-0.006000721518322184
2005-05-01,0.2258795580218612,-0.05079031826772939
2005-06-01,0.0349030268338009,-0.04538879125940794
2005-07-01,-0.0213341859584358,0.015597401072933427
2005-08-01,-0.0663010625435839,0.046756767081197234
2005-09-01,-0.0327898727177611,0.08778579671975908
2005-10-01,-0.100083377149727,0.15244409784870183
2005-11-01,0.1953934494268113,0.0725573902428331
2005-12-01,0.0032417318920839,0.08326463402808006
2006-01-01,-0.0520317802629497,0.13029467298143743
2006-02-01,0.0307717218296024,0.09412514429508964
2006-03-01,0.0,-0.019843256468398473
2006-04-01,0.0351862977019757,0.06287303591808907
2006-05-01,-0.0429298167829244,-0.004258093760802939
2006-06-01,-0.099762069442948,-0.10855717175431698
2006-07-01,-0.1067245979207733,0.0005702811544122293
2006-08-01,-0.1349950330970223,0.025702784378906666
2006-09-01,0.0023406427021455,0.10191168590270516
2006-10-01,0.1701670131003346,0.025506000266121497
2006-11-01,0.0964451836185507,-0.01847579347433894
2006-12-01,-0.0102010010159377,-0.041192123944244916
2007-01-01,-0.035608537867112,0.06823059887956759
2007-02-01,-0.0132119025636184,0.04124704034975131
2007-03-01,-0.0838499613440113,0.03131940583534885
2007-04-01,-0.0544878223082258,0.007365006276016647
2007-05-01,0.0215835032265277,0.025122741456168794
2007-06-01,0.0211273743283191,0.036672064983989394
2007-07-01,-0.0835329508181106,0.02383512787703963
2007-08-01,-0.0114287184509251,-0.037594547782015916
2007-09-01,-0.1006885541548473,-0.06184206176563336
2007-10-01,0.0333362960391385,0.028383876282359076
2007-11-01,0.0401660629358874,-0.005484538463365287
2007-12-01,-0.0320026733536905,-0.09999643258683126
2008-01-01,-0.0919014038184523,-0.05081661839283104
2008-02-01,-0.0953101729926453,-0.1472694998606623
2008-03-01,-0.0198025913305123,-0.013692496242665867
2008-04-01,-0.1743534926868888,-0.10844482783386658
2008-05-01,-0.0475407985802983,0.15286456859109296
2008-06-01,0.1165336397390547,0.10167338809994807
2008-07-01,-0.0749629291466732,-0.08802361522802164
2008-08-01,-0.6338619596611166,-0.013923200958709516
2008-09-01,-0.6554904363688494,0.1416094191985186
2008-10-01,0.688789916546043,0.017407641964326814
2008-11-01,-1.3477458901263697,-0.556357232339163
2008-12-01,-0.1840035951329946,0.21450254736052296
2009-01-01,0.0200005759404659,0.15881280816253324
2009-02-01,-0.1042608315428192,-0.10164956782788792
2009-03-01,-0.3999857722805367,-0.0734195867830098
2009-04-01,0.1376214080799474,0.18323740586673262
2009-05-01,0.182321534047808,0.1241706228155354
2009-06-01,0.3141154739085103,0.08494962581744778
2009-07-01,0.050858421352807,-0.0033499540882261786
2009-08-01,-0.0595921858518561,0.039007338932628734
2009-09-01,0.4511874716785862,0.04516569083839346
2009-10-01,-0.1439605739159671,-0.1601822927281064
2009-11-01,0.1098662502782734,-0.014811890146365119
2009-12-01,0.0778169325843745,-0.1298885756772159
2010-01-01,-0.010752691257954,0.10499648500095884
2010-02-01,-0.0442060995065157,-0.011422333293169884
2010-03-01,-0.0344862934880907,-0.0011977998563134865
2010-04-01,0.0,0.13081004517159855
2010-05-01,0.0173916926235563,0.032200120639733064
2010-06-01,-0.0531095537862859,-0.16270118688187163
2010-07-01,-0.1571856611320792,-0.08453255022378434
2010-08-01,-0.3140307666395941,0.04283209186374271
2010-09-01,0.8542086589734978,-0.0054125862306743655
2010-10-01,-0.4455124686491823,-0.1610350919795681
2010-11-01,-0.1992383177657675,0.060896903126819744
2010-12-01,0.1796934715045319,0.17306270047148706
2011-01-01,-0.1563460288122134,0.035206227730216824
2011-02-01,-0.0077219731760383,0.054503125204066305
2011-03-01,0.0454623066024072,0.0655706284299652
2011-04-01,-0.2901544038293996,-0.10907063763860778
2011-05-01,-0.0099502381569885,0.06313044719265881
2011-06-01,0.0,-0.0022952546876175844
2011-07-01,0.0487901732678902,0.015692224267606622
2011-08-01,-0.0192311799587375,-0.006863002295302272
2011-09-01,-0.1129405150216825,-0.12155884409233442
2011-10-01,-0.6931471805599453,-0.04115467030841181
2011-11-01,0.4754235423566822,0.22489354681099552
2011-12-01,0.3964153570899016,-0.15921395794250542
2012-01-01,-0.306031155365117,-0.1493277198472946
2012-02-01,0.1273394364784783,0.10116513280884792
2012-03-01,-0.1397617788254515,0.12478321616828532
2012-04-01,0.3001044442844963,0.1224569878567082
2012-05-01,-0.1823215744853998,-0.1280634965741882
2012-06-01,-0.2371299562496009,-0.12883469552843904
2012-07-01,0.1317694287974775,0.10053240757443907
2012-08-01,-0.1897566312201624,-0.056573630738341
2012-09-01,0.0148151591759092,0.05936957783059724
2012-10-01,-0.0148151591759092,0.016046948456063262
2012-11-01,-0.0150378082310717,0.017043960648092646
2012-12-01,0.0588404400558222,0.08419400683690659
2013-01-01,0.4149438765255445,0.13504967311666435
2013-02-01,0.0639487357663559,0.014544450632798966
2013-03-01,0.0432968129180017,0.03781923571089411
2013-04-01,0.1709577553500431,0.09254532852069819
2013-05-01,0.4877032434572693,0.12759880398092788
2013-06-01,-0.3173579031966765,-0.10791765549955498
