company,order,lag,cv_rmse,cv_mae,cv_aic,insample_rmse,insample_mae,n225_coef,n225_pvalue,splits
明豊エンタープライズ,"(1, 0, 1)",0,169.5183023714773,139.90122687908837,1574.729904970946,248.4118825287769,55.93536956682938,-2.584662793130965,0.45428773926956434,5
明豊エンタープライズ,"(1, 0, 1)",1,164.34796273370128,129.83321706137815,1493.5756504040032,204.14754721521354,49.675942865226205,-0.9747787999720748,0.7828529309440475,5
明豊エンタープライズ,"(1, 0, 1)",2,165.603268134185,131.7013167033981,1479.6274634549973,137.94886648354205,42.08898952626151,2.0425046719471336,0.5725817746268614,5
明豊エンタープライズ,"(1, 0, 1)",3,185.3743089747188,152.22232825359765,1448.0994750096447,121.42570136182566,40.90736938818425,4.965473051084434,0.251014216488886,5
明豊エンタープライズ,"(1, 0, 1)",6,112.61625661397412,81.57966057943206,1445.2805856136606,88.02099764722374,36.767412241300896,4.360956681952069,0.13434779238767833,5
明豊エンタープライズ,"(1, 1, 1)",0,206.12882478744626,176.74429910683455,1481.0658502888011,269.0277322760466,57.14831363549864,-2.961250032419206,0.15037760706392275,5
明豊エンタープライズ,"(1, 1, 1)",1,208.71193003267322,179.39055080340842,1465.9953695839522,226.40945914126618,53.15775702772373,-1.3215006145908372,0.6878689098829631,5
明豊エンタープライズ,"(1, 1, 1)",2,204.1303960451019,173.55641971085043,1448.424437968521,139.3027909708239,42.787016057567634,2.1807634300600114,0.5039075023437548,5
明豊エンタープライズ,"(1, 1, 1)",3,219.5255776005992,189.63453248719972,1433.8255186929514,124.3764535642884,42.72396134684856,4.457059818948481,0.28966895051000774,5
明豊エンタープライズ,"(1, 1, 1)",6,117.69787106772785,90.7908888217974,1426.4508570142912,94.82014996623901,39.84998701381448,4.78033076058148,0.05109819530392755,5
明豊エンタープライズ,"(2, 0, 1)",0,201.94850791872332,168.9966968504675,1522.4174810794393,311.6932462561461,62.06089897578691,-3.549413740868312,0.1741333187336298,5
明豊エンタープライズ,"(2, 0, 1)",1,190.1038317015769,156.7441519953024,1482.7362565175706,242.7164126646706,54.34368717928835,-0.8784093532601933,0.8035496379475908,5
明豊エンタープライズ,"(2, 0, 1)",2,152.58447628418156,117.04294402857715,1472.2753505692533,159.45284922539165,46.501637740532665,3.2660277951411727,0.3815569168042169,5
明豊エンタープライズ,"(2, 0, 1)",3,203.90830339682228,171.09371437055188,1450.6202887463824,119.85506095506656,40.04871207777851,4.0767299558194905,0.35227184449866455,5
明豊エンタープライズ,"(2, 0, 1)",6,171.2079871756219,143.02212365319292,1444.2380915141478,110.34746947361775,42.77166188117591,4.940470068593447,0.038388171019206406,5
明和地所,"(1, 0, 1)",0,257.3932437594982,212.699253162591,1628.192815054766,78.77653101589142,38.74405859354884,-10.258557618647156,3.122664189108685e-05,5
明和地所,"(1, 0, 1)",1,264.3973420701351,221.0373718702349,1613.8972807805878,76.22335328507197,38.75191686867703,11.196663495600054,5.959033605740264e-06,5
明和地所,"(1, 0, 1)",2,268.5563988007379,222.87818848062633,1619.1735720729987,78.12869609757047,39.86361580610232,-0.6206544365902414,0.8344086567180002,5
明和地所,"(1, 0, 1)",3,292.3030186892437,245.66851495817332,1602.0897339192409,78.94009166872729,40.006299501463644,-0.24610247508786998,0.9224991353216125,5
明和地所,"(1, 0, 1)",6,231.93298233217737,197.04030697074805,1596.921266628802,77.16924268002104,39.24353185662759,-0.6710415622282818,0.7985100230415386,5
明和地所,"(1, 1, 1)",0,208.82303920673772,177.612852643237,1612.2438731759798,81.19985173074426,39.259212448357346,-9.7449802708768,5.843532858926259e-05,5
明和地所,"(1, 1, 1)",1,208.30555440294,175.58976774915564,1597.5095243982748,79.94388164334292,39.649557795076426,10.742520198460074,1.1682759480653705e-05,5
明和地所,"(1, 1, 1)",2,211.46666678433684,179.4190083088175,1595.4894496583618,81.42623654353315,40.506978847632666,-1.2928710699702017,0.6387475595901481,5
明和地所,"(1, 1, 1)",3,210.47808558975308,178.32210240605428,1581.0845842752221,83.52418741581536,40.52365233497595,0.01829771908913718,0.9946113124271789,5
明和地所,"(1, 1, 1)",6,231.00624206121478,198.07097234616202,1579.8359087265244,79.04054021200604,39.63355308149713,-0.7069337426225769,0.7844112010762652,5
明和地所,"(2, 0, 1)",0,304.89388730948065,260.2809821680923,1639.9088205802316,91.53887154491207,40.75733939825078,-9.703893375194054,6.984752720534661e-05,5
明和地所,"(2, 0, 1)",1,266.38431808058465,224.9145488086931,1643.4563877449102,90.64350152040221,41.029339359368386,10.750001130743659,1.1471378592882044e-05,5
明和地所,"(2, 0, 1)",2,261.62736730386985,216.95786826211975,1616.6927341660244,93.32782835202505,42.826600423538345,2.161343959759384,0.5141238893497149,5
明和地所,"(2, 0, 1)",3,287.18274424909,242.72877485319745,1591.9520085427555,93.12236540064464,42.99751750959735,-0.7047778234483988,0.7942697111141019,5
明和地所,"(2, 0, 1)",6,230.55405649104955,195.6473945424484,1591.329418495547,86.82171361454203,40.88596840686737,-0.7306643160218219,0.7781818357563358,5
ゴールドクレスト,"(1, 0, 1)",0,651.8609106104835,526.4220798741892,2025.896185249007,200.11607757266285,133.7482909474839,-23.743686019695595,0.028001202418044355,5
ゴールドクレスト,"(1, 0, 1)",1,650.9177108066522,516.7120720778825,2005.4284993897654,197.45946681213684,133.49151523461825,36.174767415634214,0.0006212829496369135,5
ゴールドクレスト,"(1, 0, 1)",2,657.4006418497181,516.7386810540754,2001.5589609048634,205.13647479983862,134.71274586459168,13.828028393093796,0.1906818533143927,5
