company,order,lag,cv_rmse,cv_mae,cv_aic,insample_rmse,insample_mae,n225_coef,n225_pvalue,splits
明豊エンタープライズ,"(1, 0, 1)",0,0.18272101708438976,0.12374596691449273,-32.505220562875955,0.1900616279176316,0.11607537080774048,0.028880692594024742,0.0026377169215096572,5
明豊エンタープライズ,"(1, 0, 1)",1,0.1765736080277161,0.12309502483943154,-50.74810834726968,0.17704015907286108,0.11421010519627588,0.07434737005838811,3.834632655120238e-21,5
明豊エンタープライズ,"(1, 0, 1)",2,0.19129661852754382,0.13789763128269678,-51.38084910699838,0.17979034945556255,0.12051377023302318,0.06274071080375249,3.3957464742052994e-08,5
明豊エンタープライズ,"(1, 0, 1)",3,0.18388203201326822,0.12797595203974818,-31.431075605213767,0.18953652822382003,0.11737065666978232,0.015591219081736826,0.31347365963129703,5
明豊エンタープライズ,"(1, 0, 1)",6,0.1809026072330914,0.12478682208834657,-23.586429103071723,0.18972641442136484,0.11691859084340771,0.014131906085531817,0.3073999681913566,5
明豊エンタープライズ,"(1, 1, 1)",0,0.1860863308236644,0.1272895181635029,-23.407752272005403,0.19300512008108048,0.11910328289870975,0.021510332833339307,0.0024904857455090306,5
明豊エンタープライズ,"(1, 1, 1)",1,0.18054487646347311,0.12525660690278917,-42.78562605420708,0.18011723453804881,0.11480384505637997,0.06961776514265715,2.540050722248214e-31,5
明豊エンタープライズ,"(1, 1, 1)",2,0.1932883679084127,0.13951312386249617,-43.51212575594137,0.1819276067685693,0.12259489136177511,0.061631062998460676,2.560032265581887e-09,5
明豊エンタープライズ,"(1, 1, 1)",3,0.1868594192404755,0.13038890520117516,-26.0635009279182,0.19134957903525876,0.11928615187471356,0.01288783677714655,0.32285034764917797,5
明豊エンタープライズ,"(1, 1, 1)",6,0.2039606063326088,0.15574095484797484,-18.618739529111547,0.1912951943656607,0.11924121536204703,0.012762687051729242,0.27501719628944243,5
明豊エンタープライズ,"(2, 0, 1)",0,0.18243886649172247,0.1246656521080888,-32.00587762038823,0.19056255426406865,0.11730116715719972,0.03677197880434165,0.0001326175321237079,5
明豊エンタープライズ,"(2, 0, 1)",1,0.17651615334290946,0.12367319466738029,-46.68969082074015,0.17728090261540833,0.11547232054735158,0.07611899491295412,7.01543203718547e-28,5
明豊エンタープライズ,"(2, 0, 1)",2,0.19008859940931205,0.1369754247252314,-50.24804169461186,0.18000797336599367,0.12058533229784224,0.06316503091982836,2.206892518496221e-08,5
明豊エンタープライズ,"(2, 0, 1)",3,0.182798316326297,0.12881847245779238,-31.695247704108443,0.1891864384846115,0.11812683706333375,0.021925635849508567,0.15292878088482403,5
明豊エンタープライズ,"(2, 0, 1)",6,0.1837956742108756,0.1255737070605234,-22.517177084472394,0.1896323382770978,0.11703073735671389,0.01310590513382113,0.36660666982108403,5
明和地所,"(1, 0, 1)",0,0.09781218332962435,0.07281613758886311,-220.59059760941105,0.100829964794063,0.07113477352609197,0.006122017150182489,0.23793077878035462,5
明和地所,"(1, 0, 1)",1,0.0896790548655823,0.06479515716601655,-255.9167816607678,0.09002012563880665,0.06306485095953991,0.04727433876247177,6.303336429703779e-26,5
明和地所,"(1, 0, 1)",2,0.09618002175364854,0.07102999172266565,-220.49237556464794,0.10072110822068048,0.07125092202638166,0.005968101999716678,0.3170672074081953,5
明和地所,"(1, 0, 1)",3,0.09591306806250442,0.07099179406708009,-217.99087148185035,0.10073941550722909,0.07152700515834194,0.00878992404668214,0.12770609729952942,5
明和地所,"(1, 0, 1)",6,0.09719845156380619,0.07119821899925906,-217.18572860081227,0.10123940311572577,0.07162273469717624,-0.0035792091715223964,0.4632601722389388,5
明和地所,"(1, 1, 1)",0,0.09838936067704354,0.07310548927342163,-211.48071488787045,0.1031231171494397,0.0730554725319083,0.004978015624803906,0.346126468295442,5
明和地所,"(1, 1, 1)",1,0.0889676028646777,0.06412113108617641,-246.1179964729127,0.09183246741042915,0.064848354267752,0.048081948372381805,6.160365662883352e-29,5
明和地所,"(1, 1, 1)",2,0.09915167589316044,0.07367244391634845,-209.79616526139134,0.10412977621827231,0.07358428638826663,0.006116480844732337,0.3223199055071718,5
明和地所,"(1, 1, 1)",3,0.09762852358642526,0.07258386555591996,-206.4526207168229,0.10512551541819633,0.07454922381164095,0.006200786029260155,0.2781979751631707,5
明和地所,"(1, 1, 1)",6,0.09857715952525921,0.07243472502198894,-206.1149608505845,0.10382850277145443,0.07353169793093046,-0.003151855112677504,0.5549029464256241,5
明和地所,"(2, 0, 1)",0,0.09730835431513415,0.07224292889248549,-219.9916098386862,0.10082938471566508,0.07113283215286997,0.006220787562129192,0.23032592828468357,5
明和地所,"(2, 0, 1)",1,0.08994625627337317,0.06500663424096018,-259.1771701203262,0.08916592425056852,0.06437861624125477,0.05154560506271096,1.2009086919628284e-29,5
明和地所,"(2, 0, 1)",2,0.09606827437743622,0.07092878644439089,-219.30828967081214,0.1007070530223464,0.07122897060675788,0.007159184169096317,0.25270131284203234,5
明和地所,"(2, 0, 1)",3,0.09741221807475964,0.07219705106675617,-217.1860715805457,0.10069747308850868,0.07168851412861835,0.009940737884166549,0.10493119836567295,5
明和地所,"(2, 0, 1)",6,0.09715431495876953,0.07114989435871139,-215.41203589810647,0.10122932897712719,0.0716345599458523,-0.0036581615881379963,0.45196604252503425,5
ゴールドクレスト,"(1, 0, 1)",0,0.10105662259605412,0.07857802757672501,-197.95637385042374,0.10627518861569078,0.07940040940909884,0.020687810164699727,0.0008826587336857395,5
