company,order,lag,seasonal_order,cv_rmse,cv_mae,cv_aic,insample_rmse,insample_mae,n225_coef,n225_pvalue,splits,converged
明豊エンタープライズ,"(1, 0, 1)",0,"(0, 0, 0, 0)",0.18272101708438976,0.12374596691449273,-32.505220562875955,0.1900616279176316,0.11607537080774048,0.028880692594024742,0.0026377169215096572,5,True
明豊エンタープライズ,"(1, 0, 1)",0,"(0, 1, 1, 12)",0.19062583853662018,0.13252069019682827,8.79801017798309,0.2059335044128814,0.13222850675472725,0.02486097834818059,0.012968020809474266,5,True
明豊エンタープライズ,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.1765736080277161,0.12309502483943154,-50.74810834726968,0.17704015907286108,0.11421010519627588,0.07434737005838811,3.834632655120238e-21,5,True
明豊エンタープライズ,"(1, 0, 1)",1,"(0, 1, 1, 12)",0.18489519416492708,0.12998192830275335,-8.918709613380111,0.19134448781811947,0.1236918118759611,0.07600839736500517,4.99145157470071e-16,5,True
明豊エンタープライズ,"(1, 0, 1)",6,"(0, 0, 0, 0)",0.1809026072330914,0.12478682208834657,-23.586429103071723,0.18972641442136484,0.11691859084340771,0.014131906085531817,0.3073999681913566,5,True
明豊エンタープライズ,"(1, 0, 1)",6,"(0, 1, 1, 12)",0.19776717362916352,0.13997903109352622,15.544449359579414,0.20571081612974135,0.13015523100673818,0.01326719640585195,0.34109364951044674,5,True
明豊エンタープライズ,"(2, 0, 1)",0,"(0, 0, 0, 0)",0.18243886649172247,0.1246656521080888,-32.00587762038823,0.19056255426406865,0.11730116715719972,0.03677197880434165,0.0001326175321237079,5,False
明豊エンタープライズ,"(2, 0, 1)",0,"(0, 1, 1, 12)",2439402418.3380594,613202952.9091785,79.23013919867635,0.20682390896513209,0.13434042972500623,0.035699042658497625,0.0001737224051330118,5,False
明豊エンタープライズ,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.17651615334290946,0.12367319466738029,-46.68969082074015,0.17728090261540833,0.11547232054735158,0.07611899491295412,7.01543203718547e-28,5,True
明豊エンタープライズ,"(2, 0, 1)",1,"(0, 1, 1, 12)",0.18290353253515498,0.1290258330194926,-8.587087173837427,0.19125494789926983,0.12466964478265813,0.07751732059790374,1.9863142916165015e-19,5,True
明豊エンタープライズ,"(2, 0, 1)",6,"(0, 0, 0, 0)",0.1837956742108756,0.1255737070605234,-22.517177084472394,0.1896323382770978,0.11703073735671389,0.01310590513382113,0.36660666982108403,5,True
明豊エンタープライズ,"(2, 0, 1)",6,"(0, 1, 1, 12)",0.8606494447864776,0.6155321178832316,15.261976790048454,0.20564312237308308,0.13019428689690074,0.012739883325623556,0.3884222402652554,5,True
明和地所,"(1, 0, 1)",0,"(0, 0, 0, 0)",0.09781218332962435,0.07281613758886311,-220.59059760941105,0.100829964794063,0.07113477352609197,0.006122017150182489,0.23793077878035462,5,True
明和地所,"(1, 0, 1)",0,"(0, 1, 1, 12)",0.11449238734846015,0.0867022390992471,32.78317424807068,0.11257569121239942,0.08142222197055445,0.007885428842617592,0.1500944487615959,5,True
明和地所,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.0896790548655823,0.06479515716601655,-255.9167816607678,0.09002012563880665,0.06306485095953991,0.04727433876247177,6.303336429703779e-26,5,True
明和地所,"(1, 0, 1)",1,"(0, 1, 1, 12)",0.10062318016072713,0.07532553730149069,2.850708313440964,0.09852647351626813,0.07131507415156105,0.04841483213178252,8.180839845376118e-22,5,True
明和地所,"(1, 0, 1)",6,"(0, 0, 0, 0)",0.09719845156380619,0.07119821899925906,-217.18572860081227,0.10123940311572577,0.07162273469717624,-0.0035792091715223964,0.4632601722389388,5,True
明和地所,"(1, 0, 1)",6,"(0, 1, 1, 12)",0.10997390293177292,0.07982456315997569,58.76158264661956,0.11193451491247813,0.08067631251200544,-0.0004730990370658202,0.9330040491945,5,True
明和地所,"(2, 0, 1)",0,"(0, 0, 0, 0)",0.09730835431513415,0.07224292889248549,-219.9916098386862,0.10082938471566508,0.07113283215286997,0.006220787562129192,0.23032592828468357,5,True
明和地所,"(2, 0, 1)",0,"(0, 1, 1, 12)",0.11586388574465403,0.08628108066692299,118.61941486561246,0.11353137037506238,0.08229993583285551,0.008659649045158065,0.1437594643397206,5,True
明和地所,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.08994625627337317,0.06500663424096018,-259.1771701203262,0.08916592425056852,0.06437861624125477,0.05154560506271096,1.2009086919628284e-29,5,True
明和地所,"(2, 0, 1)",1,"(0, 1, 1, 12)",0.10351300007228754,0.07890456440039584,26.760870217468188,0.09807191792021712,0.07143654699980727,0.05229503587637142,9.677066575610498e-24,5,True
明和地所,"(2, 0, 1)",6,"(0, 0, 0, 0)",0.09715431495876953,0.07114989435871139,-215.41203589810647,0.10122932897712719,0.0716345599458523,-0.0036581615881379963,0.45196604252503425,5,True
明和地所,"(2, 0, 1)",6,"(0, 1, 1, 12)",4.025458970865685e+72,6.641241325888738e+71,-144.61058192220807,0.11191862993054716,0.080887457877671,-0.000407636601409895,0.942767929596529,5,True
ゴールドクレスト,"(1, 0, 1)",0,"(0, 0, 0, 0)",0.10105662259605412,0.07857802757672501,-197.95637385042374,0.10627518861569078,0.07940040940909884,0.020687810164699727,0.0008826587336857395,5,True
ゴールドクレスト,"(1, 0, 1)",0,"(0, 1, 1, 12)",0.11182013393223493,0.08564512248727187,94.6485054711731,0.11832550625490547,0.0891227682377167,0.024476574727359392,5.9319843713564656e-05,5,True
